data
26.3
27.9
24.8
13.4
42.6
94.1
1
26.7
53.9
93.9
41.8
40.9
66.7
31
88.9
98.9
67.3
13
10
20.2
48.2
19.1
31
73.8
60.1
24.8
39.1
12.9
44.7
