data
0.55
4.31
1.36
1.31
1.36
2.43
12.09
5.56
0.72
5.69
0.23
0.03
2.42
0.46
12.31
5.56
0.18
11.41
9.73
4.35
4.46
24.25
2.92
0.42
5.88
0.3
0.34
3.18
0.27
0.29
0.05
0.09
0.17
1.42
1.75
11.27
4.38
2.4
23.02
3.07
4.83
6.8
13.42
10.99
0.58
1.14
56.59
0.13
4.8
1.03
1.09
10.27
5.21
6.88
8.33
1.83
2.29
2.88
1.74
6.2
0.83
1.49
7.06
2.7
6.56
22.04
14.35
4.35
1.08
1.72
1.01
11.7
13.4
0.47
2.72
1.55
10
10.26
0.19
0.37
5.77
0.71
12.16
13.54
13.14
69.8
3.97
1.88
5.07
18.3
23.61
0.12
10.47
4.32
3.09
4.33
6.46
16.1
0.02
0.18
5.73
33.33
0.32
0.77
2.65
0.25
17.26
12.21
0.14
15.39
1.28
0.53
3.29
0.96
2.43
7.88
29.53
0.11
4.34
3.41
6.54
0.84
1.06
0.01
0.07
0.81
0.18
0.79
0.29
0.1
14.45
2.64
1.37
1.27
1.28
11.38
7.72
3.3
3.54
0.3
0.69
2.74
3.02
3.23
0.16
1.71
1.37
2.09
3.82
18.73
0.25
0.69
0.42
