data
31.71
12.83
1.7
15.24
3.45
0.01
9.25
43.92
1.05
8.84
2.55
2.41
1.27
13.96
2.12
5.95
7.87
5.71
15.45
16.4
11.28
36.08
14.29
15.81
22.88
0.38
21.92
0.55
18.24
36.17
75.14
3.52
1.75
2.69
0.31
3.38
1.66
0.22
11.02
39.62
0.89
11.49
0.46
0.28
0.99
43.14
2.39
0.01
0.31
4.75
24.11
0.81
0.19
4.48
15.41
15.41
3.01
25.52
35.42
3.18
1.23
52.96
2.9
0.13
15.81
15.81
3.37
18.97
25.48
0.81
36.06
4.81
0.51
