Extension Name,Functions,Types,Index Access Methods,Storage Managers,Client Authentication,Query Processing,Utility Commands,Number of Components
jsoncdc,No,No,No,No,No,No,Yes,1
jsonschema,Yes,No,No,No,No,No,No,1
jsquery,Yes,Yes,Yes,No,No,No,No,3
jx_io,Yes,No,No,No,No,No,No,1
kmeans,Yes,No,No,No,No,No,No,1
language,Yes,Yes,Yes,No,No,No,No,3
ldap_fdw,Yes,No,No,Yes,No,No,No,2
lo,Yes,No,No,No,No,No,No,1
lock_pool,Yes,No,No,No,No,No,No,1
log_fdw,Yes,No,No,Yes,No,No,No,2
log_functions,No,No,No,No,No,No,Yes,1
logerrors,Yes,No,No,No,No,No,Yes,2
logfmt,Yes,No,No,No,No,No,Yes,2
logical_ddl,Yes,No,No,No,No,No,No,1
login_hook,Yes,No,No,No,No,No,No,1
loglog_estimator,Yes,Yes,No,No,No,No,No,2
lostgis,Yes,Yes,No,No,No,No,No,2
lower_quantile,Yes,No,No,No,No,No,No,1
lsm3,Yes,No,Yes,No,No,Yes,Yes,4
ltree,Yes,Yes,Yes,No,No,No,No,3
ltree_plpython3u,Yes,No,No,No,No,No,No,1
madlib,Yes,Yes,Yes,No,No,No,No,3
mapcode,Yes,No,No,No,No,No,No,1
md5hash,Yes,Yes,Yes,No,No,No,No,3
metagration,Yes,No,No,No,No,No,No,1
mimeo,Yes,No,No,No,No,No,No,1
mods_since_analyze,Yes,No,No,No,No,No,No,1
mongo_fdw,Yes,No,No,Yes,No,No,No,2
multicdr_fdw,Yes,No,No,Yes,No,No,No,2
multicorn,Yes,No,No,Yes,No,No,No,2
mvtbl,Yes,No,No,No,No,No,No,1
my_extension,Yes,No,No,No,No,No,No,1
mysql_fdw,Yes,No,No,Yes,No,No,No,2
mysqlcompat,Yes,No,No,No,No,No,No,1
narugn,Yes,Yes,No,No,No,No,No,2
neo4j-fdw,Yes,No,No,No,No,No,No,1
nominatim_fdw,Yes,Yes,No,Yes,No,No,No,3
notify_now,Yes,Yes,No,No,No,No,No,2
oai_fdw,Yes,Yes,No,Yes,No,No,No,3
object_reference,Yes,No,No,No,No,No,No,1
odbc_fdw,Yes,No,No,Yes,No,No,No,2
ogr_fdw,Yes,No,No,Yes,No,No,No,2
old_snapshot,Yes,No,No,No,No,No,No,1
openbarter,Yes,Yes,No,No,No,No,No,2
openssl,Yes,Yes,No,No,No,No,No,2
oracle_fdw,Yes,No,No,Yes,No,No,No,2
orafce,Yes,Yes,No,No,No,No,No,2
osm_fdw,Yes,No,No,Yes,No,No,No,2
otp,Yes,No,No,No,No,No,No,1
pageinspect,Yes,No,No,No,No,No,No,1
pair,Yes,Yes,No,No,No,No,No,2
pandapost,Yes,Yes,No,No,No,No,No,2
paradedb,Yes,No,No,Yes,No,Yes,No,3
parray_gin,Yes,No,Yes,No,No,No,No,2
passwd-fdw,Yes,No,No,Yes,No,No,No,2
passwordcheck,No,No,No,No,Yes,No,No,1
pcsa_estimator,Yes,Yes,No,No,No,No,No,2
permuteseq,Yes,No,No,No,No,No,No,1
pg-json,Yes,Yes,No,No,No,No,No,2
pg2podg,Yes,No,No,No,No,No,No,1
pg_acl,Yes,Yes,No,No,No,No,No,2
pg_amqp,Yes,No,No,No,No,No,No,1
pg_auditor,Yes,Yes,No,No,No,No,No,2
pg_background,Yes,No,No,No,No,No,No,1
pg_bigm,Yes,No,Yes,No,No,No,No,2
pg_buffercache,Yes,No,No,No,No,No,No,1
pg_bulkload,Yes,No,No,No,No,No,No,1
pg_cext,Yes,No,No,No,No,No,No,1
pg_collkey,Yes,No,No,No,No,No,No,1
pg_cron,Yes,No,No,No,No,No,No,1
pg_curl,Yes,No,No,No,No,No,No,1
pg_datatype_password,Yes,Yes,No,No,No,No,No,2
pg_diffix,Yes,Yes,No,No,Yes,Yes,Yes,5
pg_doc_store,Yes,No,No,No,No,No,No,1
pg_doctest,Yes,No,No,No,No,No,No,1
pg_extra_time,Yes,No,No,No,No,No,No,1
pg_failover_slots,No,No,No,No,Yes,No,No,1
pg_feedback,Yes,Yes,No,No,No,No,No,2
pg_fkpart,Yes,No,No,No,No,No,No,1
pg_freespacemap,Yes,No,No,No,No,No,No,1
pg_french_datatypes,No,Yes,No,No,No,No,No,1
pg_global_catalog,Yes,No,No,No,No,No,No,1
pg_gsl,Yes,No,No,No,No,No,No,1
pg_handlebars,Yes,No,No,No,No,No,No,1
pg_hint_plan,No,No,No,No,No,Yes,Yes,2
pg_html5_email_address,Yes,No,No,No,No,No,No,1
pg_htmldoc,Yes,No,No,No,No,No,No,1
pg_icu_parser,Yes,No,No,No,No,No,No,1
pg_idx_advisor,No,No,No,No,No,Yes,No,1
pg_image,Yes,Yes,Yes,No,No,No,No,3
pg_injection,No,No,No,No,No,Yes,No,1
pg_ivm,Yes,No,No,No,Yes,No,No,2
